Team,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
Saint Joseph (CT),"Oliver,Janai",25.0,7.0,9.0,77.78,0.0,0.0,,4.0,6.0,66.67,3,14,17,1.0,1.0,0.0,2,0,18.0
Dean College,Olivia Cooper,13.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,1,1,2,0.0,0.0,0.0,2,0,0.0
Westfield St.,Olivia Hadla,24.0,5.0,19.0,26.32,1.0,5.0,20.0,2.0,2.0,100.0,3,1,4,1.0,5.0,0.0,3,3,13.0
Salem St.,"Orfanos,Maria",15.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,,0,2,2,1.0,2.0,0.0,1,4,0.0
WPI,"Ouellette,Corinn",2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,1,0,0.0
Saint Joseph (CT),"Ouellette,Jordan",24.0,11.0,14.0,78.57,0.0,0.0,,0.0,0.0,,2,5,7,5.0,0.0,1.0,2,1,22.0
Elms,"Pacheco, Mia",3.0,0.0,0.0,,0.0,0.0,,1.0,2.0,50.0,0,1,1,0.0,1.0,0.0,1,0,1.0
Elms,"Pacheco,Mia",18.0,0.0,5.0,0.0,0.0,3.0,0.0,1.0,2.0,50.0,1,0,1,1.0,0.0,0.0,3,4,1.0
Gordon,Paige Gadarowski,10.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,1,2,3,0.0,0.0,0.0,1,3,0.0
Rivier,"Papatola,Lily",3.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0,1,1,0.0,0.0,0.0,0,0,0.0
Anna Maria,"Paulhus,Madison",33.0,7.0,17.0,41.18,2.0,3.0,66.67,3.0,4.0,75.0,2,4,6,0.0,2.0,0.0,2,1,19.0
Regis (MA),"Perdicho, Jesmari",0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,0,0,0.0
Salem St.,"Perez,Jarielis",5.0,1.0,3.0,33.33,0.0,1.0,0.0,1.0,2.0,50.0,0,0,0,0.0,0.0,0.0,2,0,3.0
Regis (MA),"Perry, Jillian",33.0,1.0,9.0,11.11,0.0,5.0,0.0,3.0,5.0,60.0,3,6,9,2.0,4.0,0.0,1,3,5.0
Rivier,"Perry,Sydney",15.0,4.0,7.0,57.14,0.0,0.0,,2.0,2.0,100.0,0,2,2,1.0,1.0,1.0,2,2,10.0
Salem St.,"Phillips,Haley",3.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,,1,0,1,0.0,0.0,0.0,0,0,2.0
Elms,Phonia Guerrier,5.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0,1,1,0.0,0.0,0.0,1,0,0.0
Elms,Piper Graham,122.0,12.0,48.0,25.0,7.0,23.0,30.43,4.0,7.0,57.14,2,9,11,6.0,8.0,0.0,11,9,35.0
Regis (MA),"Pollini, Emma",17.0,1.0,4.0,25.0,1.0,2.0,50.0,3.0,4.0,75.0,1,1,2,1.0,1.0,0.0,1,2,6.0
Regis (MA),"Pollini, Sophia",6.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,1,1,0.0,0.0,0.0,1,0,0.0
Elms,Rahmia Johnston,217.0,14.0,67.0,20.9,5.0,27.0,18.52,31.0,45.0,68.89,6,37,43,18.0,12.0,2.0,26,14,64.0
St. Joseph's (ME),"Ramsdell,Grace",23.0,3.0,10.0,30.0,1.0,6.0,16.67,2.0,2.0,100.0,0,8,8,5.0,3.0,2.0,0,0,9.0
Colby-Sawyer,"Raymond,Delaney",8.0,1.0,2.0,50.0,1.0,2.0,50.0,2.0,2.0,100.0,0,0,0,0.0,0.0,0.0,1,2,5.0
Wentworth,Reagan Madonia,22.0,4.0,10.0,40.0,3.0,7.0,42.86,0.0,0.0,,0,1,1,1.0,2.0,0.0,2,0,11.0
Amherst,Reagan Pahl,13.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0,3,3,1.0,0.0,0.0,2,2,0.0
Anna Maria,"Reddin,Marinique",35.0,7.0,19.0,36.84,1.0,3.0,33.33,2.0,2.0,100.0,2,2,4,5.0,5.0,1.0,7,0,17.0
Norwich,"Reeve,Morgan",0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,0,0,0.0
Emmanuel (MA),"Reilly,Megan",28.0,4.0,12.0,33.33,0.0,0.0,,0.0,0.0,,6,2,8,2.0,2.0,0.0,2,0,8.0
WPI,"Reno,Shannon",32.0,3.0,6.0,50.0,2.0,5.0,40.0,0.0,0.0,,3,1,4,7.0,1.0,0.0,1,0,8.0
Regis (MA),"Reynolds, Maya",0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,0,0,0.0
Salem St.,"Reynolds,Morgan",3.0,0.0,1.0,0.0,0.0,0.0,,1.0,2.0,50.0,1,2,3,0.0,1.0,0.0,1,1,1.0
Rivier,"Rioux,Taylor",13.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,1,1,2,1.0,1.0,1.0,1,0,0.0
Emmanuel (MA),"Robinson,Desiree",50.0,8.0,16.0,50.0,0.0,0.0,,2.0,4.0,50.0,2,4,6,2.0,6.0,0.0,6,6,18.0
St. Joseph's (ME),"Russell,Maddie",17.0,2.0,5.0,40.0,1.0,3.0,33.33,2.0,2.0,100.0,0,0,0,3.0,3.0,0.0,4,1,7.0
Fitchburg St.,Rylie Harlow,38.0,4.0,18.0,22.22,1.0,8.0,12.5,5.0,7.0,71.43,2,9,11,5.0,1.0,1.0,5,5,14.0
Anna Maria,"Salazar,Tiffany",28.0,1.0,8.0,12.5,1.0,5.0,20.0,0.0,0.0,,2,2,4,4.0,3.0,0.0,2,2,3.0
Wentworth,Samantha Jones,27.0,2.0,9.0,22.22,1.0,1.0,100.0,0.0,0.0,,0,1,1,6.0,2.0,0.0,6,2,5.0
Gordon,Sami Monighetti,15.0,1.0,4.0,25.0,1.0,4.0,25.0,0.0,0.0,,0,5,5,5.0,1.0,0.0,1,1,3.0
Mitchell,"Sanchez,Nanda",17.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,1,0,0.0
Salem St.,"Sarnacki,Maggy",2.0,0.0,0.0,,0.0,0.0,,1.0,2.0,50.0,0,1,1,0.0,0.0,0.0,0,1,1.0
Emmanuel (MA),"Saunders,Kalia",26.0,6.0,8.0,75.0,0.0,0.0,,2.0,4.0,50.0,4,6,10,6.0,6.0,0.0,0,2,14.0
Rivier,"Scharn,Alyssa",24.0,1.0,3.0,33.33,0.0,2.0,0.0,0.0,0.0,,1,1,2,4.0,0.0,0.0,2,2,2.0
Salem St.,"Schrock,Kylie",3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,,0,1,1,0.0,0.0,0.0,0,1,0.0
Nazareth,"Schuey,Tessa",17.0,1.0,6.0,16.67,1.0,5.0,20.0,0.0,0.0,,0,3,3,2.0,0.0,0.0,3,1,3.0
Nazareth,"Schultz,Brayden",12.0,4.0,9.0,44.44,0.0,0.0,,2.0,2.0,100.0,2,1,3,1.0,1.0,1.0,2,4,10.0
Albertus Magnus,"Scott, Caitlyn",28.0,6.0,15.0,40.0,4.0,5.0,80.0,0.0,0.0,,1,8,9,4.0,1.0,0.0,3,1,16.0
Elms,"Scott, Ta'Niyah",1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,0,0,0.0
New England Col.,"Scott,Isyss",12.0,0.0,1.0,0.0,0.0,0.0,,3.0,6.0,50.0,1,5,6,0.0,1.0,0.0,0,3,3.0
Elms,"Scott,Ta'Niyah",18.0,1.0,2.0,50.0,0.0,0.0,,1.0,2.0,50.0,0,4,4,0.0,0.0,0.0,0,2,3.0
Anna Maria,"Scott-Cummins,Sharayha",19.0,6.0,8.0,75.0,2.0,3.0,66.67,0.0,0.0,,1,0,1,3.0,2.0,0.0,1,2,14.0
Wellesley,"Serna, Yitzel",0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,0,0,0.0
Wellesley,"Shane, Ava",30.0,5.0,7.0,71.43,0.0,0.0,,4.0,8.0,50.0,2,6,8,2.0,2.0,0.0,5,2,14.0
Elms,Shea Barron,82.0,6.0,21.0,28.57,2.0,8.0,25.0,2.0,4.0,50.0,3,7,10,5.0,2.0,0.0,1,13,16.0
Wellesley,"Sheahan, Bridget",10.0,0.0,1.0,0.0,0.0,0.0,,1.0,2.0,50.0,0,3,3,1.0,0.0,0.0,4,2,1.0
Emerson,"Silk,Jessie",40.0,6.0,12.0,50.0,1.0,6.0,16.67,7.0,8.0,87.5,1,6,7,3.0,2.0,0.0,1,1,20.0
Saint Joseph (CT),"Slisz,Maya",20.0,2.0,6.0,33.33,0.0,2.0,0.0,1.0,2.0,50.0,1,3,4,6.0,2.0,0.0,6,0,5.0
Emmanuel (MA),"Sloyan,Hattie",30.0,4.0,16.0,25.0,0.0,4.0,0.0,0.0,0.0,,2,2,4,4.0,4.0,0.0,4,4,8.0
VTSU Lyndon,"Small,Elise",7.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,,0,0,0,0.0,0.0,0.0,0,1,0.0
Elms,"Smith, Heaven",1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,0,0,0.0
Rivier,"Smith,Hannah",4.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,0,1,1,0.0,0.0,0.0,0,0,0.0
Elms,"Smith,Heaven",13.0,2.0,5.0,40.0,0.0,0.0,,0.0,0.0,,0,1,1,0.0,0.0,0.0,1,0,4.0
VTSU Lyndon,"Smith,Sage",39.0,8.0,16.0,50.0,4.0,10.0,40.0,1.0,2.0,50.0,3,2,5,1.0,3.0,0.0,8,3,21.0
Elms,Soliyana Asfaw,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,1,0,1,0.0,0.0,0.0,0,0,0.0
Elms,Sophia Andrade,53.0,1.0,11.0,9.09,0.0,5.0,0.0,0.0,0.0,,4,7,11,2.0,1.0,0.0,5,5,2.0
Westfield St.,Sophia DeAngelis,15.0,1.0,5.0,20.0,0.0,0.0,,3.0,4.0,75.0,0,1,1,2.0,0.0,0.0,1,1,5.0
Gordon,Sophie Peters,17.0,2.0,5.0,40.0,0.0,0.0,,0.0,0.0,,2,4,6,0.0,1.0,0.0,2,2,4.0
Saint Joseph (CT),"Soto,Emiah",26.0,2.0,9.0,22.22,0.0,0.0,,0.0,0.0,,0,1,1,2.0,2.0,0.0,4,1,4.0
St. Joseph's (ME),"Stapelfeld,Elisabeth",20.0,6.0,6.0,100.0,1.0,1.0,100.0,0.0,0.0,,1,0,1,3.0,1.0,0.0,3,1,13.0
Rivier,"Stawasz,Anna",3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0,1,1,0.0,0.0,0.0,3,0,0.0
Fitchburg St.,Stephanie Hart,31.0,6.0,6.0,100.0,0.0,0.0,,8.0,13.0,61.54,8,9,17,4.0,4.0,0.0,1,3,20.0
Elms,Stephanie Mildner,7.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,0,1,1,0.0,0.0,0.0,0,1,0.0
Elms,"Stokes, Danajah",1.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,0,0,2.0
